                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1418,                 2.3443,                 1.4776,                0.56135,                0.54134,                0.58394,                0.23627,                 2.1396,                 3.0489,                  3.259,             0.00036416,             0.00036416,             0.00036416
                      2,                 1.0339,                 1.3631,                 1.3453,                0.26336,                0.38412,                0.33604,                0.12614,                 2.2597,                 2.8413,                 2.9771,             0.00071995,             0.00071995,             0.00071995
                      3,                 1.0381,                 1.2669,                 1.3445,                0.46522,                0.46504,                0.41558,                0.15254,                  2.475,                 3.3233,                 3.2952,              0.0010611,              0.0010611,              0.0010611
                      4,                 1.0402,                  1.239,                   1.35,                0.41999,                0.44946,                0.39849,                 0.1939,                 1.9956,                 2.8011,                 2.6265,               0.001045,               0.001045,               0.001045
                      5,                 1.0428,                 1.2093,                 1.3506,                0.52374,                 0.5091,                 0.5107,                0.21323,                 2.1541,                 2.9318,                 2.9065,               0.001045,               0.001045,               0.001045
                      6,                0.99117,                 1.1129,                 1.2982,                0.82831,                0.75067,                0.78846,                0.34945,                 2.0953,                 1.5398,                 2.7927,               0.001023,               0.001023,               0.001023
                      7,                0.97186,                 1.0582,                 1.2973,                0.70765,                0.63105,                0.73442,                0.30631,                 2.1553,                  1.735,                   3.18,               0.001001,               0.001001,               0.001001
                      8,                0.95108,                 1.0394,                  1.274,                0.88706,                0.66032,                0.80207,                0.32272,                 2.2548,                   1.68,                  2.917,             0.00097901,             0.00097901,             0.00097901
                      9,                0.94927,                0.99699,                 1.2658,                0.83777,                0.79263,                0.84485,                0.40881,                 1.9559,                 1.3967,                 2.5806,             0.00095702,             0.00095702,             0.00095702
                     10,                0.90951,                0.98381,                 1.2553,                0.68881,                0.71968,                0.77701,                0.38315,                  1.792,                 1.5175,                 2.3529,             0.00093502,             0.00093502,             0.00093502
                     11,                0.89547,                0.92931,                 1.2382,                0.65426,                0.64896,                 0.7504,                0.30019,                 1.9128,                 1.5398,                 2.5483,             0.00091302,             0.00091302,             0.00091302
                     12,                0.87314,                0.89834,                  1.218,                0.70686,                0.75729,                0.72218,                0.34923,                 1.9912,                 1.4887,                 2.4625,             0.00089102,             0.00089102,             0.00089102
                     13,                0.86816,                0.87037,                 1.2242,                0.74115,                0.65223,                0.74107,                0.41574,                 1.9558,                 1.3692,                 2.4974,             0.00086902,             0.00086902,             0.00086902
                     14,                0.83144,                0.82517,                 1.1942,                0.79358,                0.77463,                 0.8448,                0.41354,                 1.9219,                 1.2249,                 2.4998,             0.00084703,             0.00084703,             0.00084703
                     15,                0.84795,                0.82572,                 1.2088,                0.86962,                0.79346,                0.88582,                 0.4074,                 2.0415,                 1.2987,                 2.7241,             0.00082503,             0.00082503,             0.00082503
                     16,                0.83249,                0.79215,                 1.1915,                0.85519,                0.88834,                0.92265,                0.44117,                 1.9169,                 1.1269,                  2.515,             0.00080303,             0.00080303,             0.00080303
                     17,                0.81266,                 0.7795,                 1.1711,                0.74745,                 0.8373,                0.83054,                0.43877,                 1.8088,                 1.2243,                 2.2632,             0.00078103,             0.00078103,             0.00078103
                     18,                0.80353,                0.76381,                 1.1659,                0.85821,                 0.8531,                0.92246,                0.46892,                 1.8746,                 1.0287,                 2.4977,             0.00075904,             0.00075904,             0.00075904
                     19,                0.79245,                0.77079,                 1.1658,                0.86599,                0.83982,                 0.9064,                0.51514,                 1.7825,                 1.1682,                 2.4041,             0.00073704,             0.00073704,             0.00073704
                     20,                0.77518,                0.75723,                  1.157,                0.80807,                0.86707,                0.88592,                0.48845,                 1.7781,                 1.0805,                 2.2752,             0.00071504,             0.00071504,             0.00071504
                     21,                0.76536,                0.71874,                 1.1441,                0.90946,                0.75077,                0.90896,                0.45435,                 1.8432,                 1.0694,                 2.4025,             0.00069304,             0.00069304,             0.00069304
                     22,                0.78217,                0.72278,                 1.1519,                0.87988,                0.88725,                 0.9168,                0.45907,                 1.8886,                 1.0524,                 2.4171,             0.00067104,             0.00067104,             0.00067104
                     23,                0.75917,                0.69051,                 1.1426,                 0.8922,                0.87356,                0.93185,                0.49208,                 1.8456,                 1.0652,                  2.573,             0.00064905,             0.00064905,             0.00064905
                     24,                 0.7339,                0.67011,                 1.1294,                0.90909,                0.81357,                0.90628,                0.45477,                 1.8304,                 1.0241,                  2.479,             0.00062705,             0.00062705,             0.00062705
                     25,                0.73971,                0.67909,                 1.1422,                 0.8678,                0.79603,                0.91042,                0.55776,                 1.6361,                 1.0133,                 2.1993,             0.00060505,             0.00060505,             0.00060505
                     26,                0.72702,                0.68298,                 1.1285,                0.90397,                0.88582,                0.89495,                 0.4854,                 1.7348,                 1.1615,                 2.3758,             0.00058305,             0.00058305,             0.00058305
                     27,                0.74498,                  0.657,                 1.1465,                0.82856,                 0.8881,                0.91328,                0.53992,                 1.7655,                 1.0717,                 2.3052,             0.00056105,             0.00056105,             0.00056105
                     28,                0.71152,                0.65001,                 1.1118,                0.92435,                 0.8952,                0.94668,                  0.568,                 1.6929,                0.91924,                  2.146,             0.00053906,             0.00053906,             0.00053906
                     29,                0.70187,                0.62788,                 1.1119,                0.90656,                0.88436,                0.95142,                0.58197,                 1.6029,                0.83994,                 2.0932,             0.00051706,             0.00051706,             0.00051706
                     30,                0.69236,                 0.6028,                 1.1069,                 0.8718,                 0.8338,                0.89569,                0.41985,                 1.9463,                 1.0086,                 2.5808,             0.00049506,             0.00049506,             0.00049506
                     31,                0.68955,                0.62049,                 1.0998,                0.85776,                0.81923,                 0.8922,                0.53085,                 1.7157,                0.94299,                 2.2828,             0.00047306,             0.00047306,             0.00047306
                     32,                0.67505,                0.59616,                 1.1052,                0.84473,                 0.9327,                0.94897,                0.55963,                 1.6172,                 1.0021,                 2.1589,             0.00045107,             0.00045107,             0.00045107
                     33,                 0.6593,                0.58106,                 1.0864,                0.86316,                0.84187,                0.90457,                0.53115,                 1.8061,                0.97476,                 2.3056,             0.00042907,             0.00042907,             0.00042907
                     34,                0.67019,                0.57237,                 1.0871,                0.89565,                0.93169,                0.95822,                0.55688,                 1.6589,                0.90079,                 2.1436,             0.00040707,             0.00040707,             0.00040707
                     35,                0.64913,                0.56555,                 1.0808,                0.89843,                0.88618,                0.93169,                0.51928,                 1.8651,                0.90959,                 2.3557,             0.00038507,             0.00038507,             0.00038507
                     36,                0.64835,                0.55115,                 1.0806,                0.92863,                0.91127,                0.94761,                0.55309,                 1.5864,                0.80729,                 2.0744,             0.00036307,             0.00036307,             0.00036307
                     37,                0.63094,                 0.5549,                 1.0581,                0.90831,                 0.9167,                0.96331,                0.55512,                 1.6947,                 0.8677,                 2.2462,             0.00034108,             0.00034108,             0.00034108
                     38,                0.62866,                0.53626,                 1.0625,                0.80665,                0.95593,                 0.9424,                0.57342,                 1.6246,                0.85826,                 2.1486,             0.00031908,             0.00031908,             0.00031908
                     39,                0.62192,                0.54599,                 1.0677,                0.92375,                0.94257,                0.97206,                0.57208,                 1.5976,                0.83452,                 2.2147,             0.00029708,             0.00029708,             0.00029708
                     40,                0.60824,                0.53327,                 1.0506,                0.89309,                0.92962,                0.94241,                0.60325,                 1.5122,                0.84604,                 2.0501,             0.00027508,             0.00027508,             0.00027508
                     41,                0.61231,                  0.474,                 1.0831,                0.89808,                 0.9284,                0.94983,                0.56559,                 1.6276,                0.90697,                 2.1899,             0.00025309,             0.00025309,             0.00025309
                     42,                0.59375,                0.42133,                   1.06,                0.89243,                0.91669,                0.93209,                0.58283,                 1.5923,                0.85542,                 2.1345,             0.00023109,             0.00023109,             0.00023109
                     43,                0.56609,                0.39582,                 1.0447,                0.91161,                0.92485,                0.95224,                0.56331,                 1.7175,                0.90062,                 2.3827,             0.00020909,             0.00020909,             0.00020909
                     44,                0.55654,                0.39156,                 1.0325,                0.86883,                0.92762,                0.94936,                 0.5599,                  1.703,                 0.9265,                 2.2765,             0.00018709,             0.00018709,             0.00018709
                     45,                0.54449,                0.38478,                  1.039,                0.95333,                0.93436,                0.97341,                0.57141,                 1.6709,                0.81837,                 2.2515,             0.00016509,             0.00016509,             0.00016509
                     46,                0.53906,                0.38569,                 1.0214,                 0.9293,                0.95781,                0.96656,                0.56271,                 1.6393,                0.80965,                 2.2191,              0.0001431,              0.0001431,              0.0001431
                     47,                0.54187,                0.38077,                 1.0318,                0.92346,                0.95763,                0.96463,                0.58061,                 1.6462,                0.81396,                 2.1938,              0.0001211,              0.0001211,              0.0001211
                     48,                0.50388,                0.35806,                 1.0075,                0.94103,                0.96028,                 0.9669,                0.57959,                  1.613,                0.79076,                 2.1735,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                0.50849,                0.36012,                 1.0113,                0.92552,                0.94156,                0.96832,                0.56101,                  1.652,                0.80849,                 2.2796,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                0.48733,                0.34401,                0.99613,                0.88902,                0.95932,                0.95646,                0.58096,                 1.6305,                0.78591,                 2.2719,             5.5106e-05,             5.5106e-05,             5.5106e-05
